Czas [s],P1[kPa],P2[[kPa],T[C],F[m^3/h],CV[%],X[%],PV[%]
675,647.3748,344.3223,96.81319,360.5617,34.65202,34.72528,49.05983
676,641.2698,348.4737,96.81319,363.1258,34.21245,33.65079,48.91331
677,636.3858,342.8571,96.78877,366.5446,34.06593,33.40659,48.64469
678,637.1184,350.4274,96.78877,370.3297,33.62637,33.43101,49.01099
679,631.2576,354.3346,96.78877,372.0391,33.94383,32.47863,48.79121
680,633.2112,347.0085,96.78877,372.6496,33.60195,32.94261,48.81563
681,635.1648,350.6716,96.78877,372.8938,33.62637,33.28449,48.10745
682,631.0134,347.2527,96.81319,373.138,32.86935,33.01587,48.59585
683,630.0366,348.7179,96.81319,373.9927,33.38217,32.55189,48.64469
684,629.0598,352.8694,96.78877,376.0684,33.43101,32.42979,49.25519
685,634.9206,344.0781,96.78877,377.2894,34.48107,32.57631,49.20635
686,641.7582,337.4847,96.81319,373.3822,34.28571,33.79731,49.18193
687,641.514,349.2063,96.78877,369.7192,34.13919,33.57753,48.93773
688,637.851,343.8339,96.78877,368.6203,33.96825,33.74847,48.96215
689,634.4322,346.7643,96.78877,369.475,33.96825,33.35775,48.98657
690,637.6068,349.4505,96.81319,371.4286,34.13919,33.21123,49.15751
691,640.0488,340.1709,96.81319,371.4286,34.45665,33.43101,49.57265
692,644.9328,342.3687,96.78877,370.9402,34.8718,33.47985,49.37729
693,647.8632,344.8107,96.78877,368.0098,34.57876,33.84615,49.23077
694,644.9328,343.1013,96.78877,366.5446,33.96825,33.96825,48.64469
695,642.4908,336.9963,96.81319,366.3004,33.38217,33.79731,48.49817
696,632.4786,358.486,96.81319,368.254,32.67399,32.86935,48.10745
697,626.862,359.2186,96.81319,373.9927,32.89377,32.35653,48.69353
698,620.5128,356.044,96.78877,378.6325,33.33333,32.01465,48.57143
699,627.3504,349.939,96.81319,380.464,33.30891,32.21001,48.57143
700,626.862,350.1832,96.78877,378.8767,33.55311,32.42979,48.86447
701,633.2112,349.2063,96.81319,377.5336,33.89499,32.91819,49.10867
702,632.7228,352.6252,96.81319,375.7021,33.65079,32.94261,48.69353
703,635.8974,351.4042,96.81319,373.6264,32.99145,33.06471,48.42491
704,629.304,345.2991,96.78877,372.7717,33.30891,32.94261,48.47375
705,627.8388,359.2186,96.78877,374.2369,32.91819,33.01587,48.25397
706,621.7338,349.939,96.78877,377.2894,33.11355,32.38095,48.42491
707,625.1526,353.1136,96.78877,378.5104,32.82051,32.11233,48.27839
708,624.42,352.6252,96.83761,379.4872,33.45543,32.11233,49.05983
709,621.2454,346.5201,96.81319,380.3419,34.5055,32.06349,49.35287
710,640.293,340.1709,96.78877,379.6093,35.26252,32.60073,49.98779
711,647.8632,335.0427,96.81319,372.0391,35.2381,34.04151,49.89011
712,651.0379,327.7167,96.81319,363.9805,35.16484,34.55434,49.76801
713,651.0379,327.7167,96.81319,363.9805,35.16484,34.55434,49.76801
714,646.8864,329.1819,96.78877,359.5849,34.31013,34.5055,49.18193
715,641.7582,336.2637,96.76435,362.7595,34.6276,33.82173,49.45055
716,637.6068,336.7521,96.78877,367.033,34.48107,33.11355,49.25519
717,643.956,336.2637,96.78877,367.5214,33.79731,33.55311,48.79121
718,638.0952,333.5775,96.78877,367.1551,32.60073,33.47985,47.98535
719,636.63,342.6129,96.78877,367.1551,32.67399,33.28449,48.08303
720,630.525,352.381,96.78877,371.0623,32.18559,32.60073,47.83883
721,624.1758,359.9512,96.78877,375.3358,33.16239,32.28327,48.57143
722,622.7106,350.4274,96.78877,380.3419,33.21123,31.79487,48.52259
723,633.4554,345.7875,96.78877,380.9524,33.38217,32.50305,48.71795
724,628.3272,346.5201,96.81319,379.9756,33.21123,32.52747,48.47375
725,629.0598,347.4969,96.78877,377.8999,33.57753,32.94261,48.96215
726,630.7692,349.2063,96.81319,377.6557,33.79731,32.52747,48.96215
727,633.6996,348.7179,96.81319,376.5568,33.74847,32.86935,49.20635
728,632.7228,348.4737,96.78877,375.0916,34.40781,32.91819,49.35287
729,635.6532,343.1013,96.78877,373.5043,34.18803,33.35775,49.27961
730,641.2698,343.5897,96.76435,370.5739,33.89499,33.69963,49.01099
731,641.0256,353.8462,96.78877,368.8645,33.26007,33.40659,48.54701
732,632.967,357.0208,96.78877,369.3529,33.67521,33.01587,48.84005
733,628.8156,349.2063,96.81319,373.7485,33.26007,32.40537,48.66911
734,626.1294,347.9853,96.81319,375.2137,34.04151,32.40537,49.20635
735,629.304,346.5201,96.78877,375.9463,34.23687,32.72283,49.25519
736,640.5372,346.5201,96.78877,373.3822,34.28571,33.33333,49.37729
737,643.4676,344.8107,96.78877,370.696,33.79731,33.67521,48.79121
738,637.1184,342.3687,96.78877,369.8413,33.89499,33.45543,49.05983
739,634.188,353.8462,96.76435,369.9634,34.43223,32.69841,49.27961
740,637.851,345.5433,96.78877,370.5739,34.35897,33.26007,49.54823
741,643.2234,343.3455,96.78877,369.5971,34.26129,33.45543,49.37729
742,640.5372,341.3919,96.81319,368.9866,33.55311,33.57753,48.81563
743,634.9206,347.4969,96.78877,368.4982,33.13797,33.40659,48.37607
744,628.3272,351.8926,96.76435,371.4286,32.18559,32.82051,48.05861
745,625.3968,361.1722,96.78877,375.2137,32.99145,32.35653,48.47375
746,619.7802,361.4164,96.78877,379.8535,33.18681,31.96581,48.59585
747,625.3968,351.16,96.78877,380.3419,34.18803,32.67399,49.27961
748,635.1648,341.8803,96.76435,379.1209,34.33455,32.82051,49.42613
749,641.0256,343.8339,96.78877,373.2601,34.55434,33.21123,49.47497
750,641.514,341.6361,96.76435,370.4518,33.08913,33.60195,48.59585
751,641.514,343.1013,96.78877,368.4982,32.74725,33.84615,48.42491
752,631.746,347.9853,96.78877,368.1319,32.69841,33.28449,48.03419
753,625.3968,347.4969,96.76435,371.917,32.55189,32.60073,48.42491
754,615.873,350.9158,96.76435,376.0684,33.26007,31.96581,48.71795
755,618.5592,356.5324,96.78877,380.3419,33.40659,31.37973,48.81563
756,627.8388,353.1136,96.76435,379.8535,33.04029,32.40537,48.69353
757,627.8388,353.1136,96.76435,379.8535,33.04029,32.40537,48.69353
758,628.8156,345.2991,96.78877,377.8999,32.45421,32.64957,48.18071
759,625.641,349.4505,96.78877,377.2894,33.04029,32.64957,48.62027
760,624.1758,355.0672,96.76435,378.5104,33.21123,32.28327,48.64469
761,628.5714,358.2418,96.76435,378.8767,33.87057,32.35653,48.96215
762,634.9206,349.4505,96.76435,377.2894,33.26007,33.21123,48.66911
763,633.6996,357.0208,96.78877,373.9927,33.79731,32.79609,49.15751
764,631.5018,342.1245,96.76435,373.6264,33.60195,32.79609,48.88889
765,630.2808,346.0317,96.76435,373.3822,33.33333,33.11355,48.91331
766,628.083,345.2991,96.76435,373.2601,33.16239,32.86935,48.52259
767,624.6642,352.8694,96.78877,373.8706,32.99145,32.50305,48.66911
768,623.9316,353.8462,96.78877,377.0452,33.13797,32.38095,48.59585
769,623.9316,353.3578,96.78877,378.1441,32.94261,32.40537,48.57143
770,622.9548,357.5092,96.78877,378.5104,33.47985,32.40537,49.01099
771,626.862,349.4505,96.78877,378.2662,33.74847,32.64957,49.30403
772,635.6532,350.1832,96.76435,377.7778,34.28571,33.04029,49.57265
773,632.2344,343.5897,96.78877,373.5043,33.69963,33.47985,49.03541
774,632.967,338.2173,96.76435,370.9402,33.94383,33.28449,49.15751
775,633.2112,343.3455,96.78877,370.0855,33.33333,33.50427,48.66911
776,627.1062,348.2295,96.78877,371.6728,33.47985,32.57631,49.03541
777,625.1526,350.1832,96.76435,373.7485,33.21123,32.74725,48.66911
778,623.199,350.4274,96.76435,376.0684,33.40659,32.64957,48.93773
779,624.1758,347.0085,96.76435,376.5568,33.62637,32.42979,48.88889
780,630.7692,343.1013,96.76435,376.9231,33.65079,32.82051,49.05983
781,631.746,343.1013,96.73993,375.2137,33.67521,33.08913,49.03541
782,633.2112,340.1709,96.76435,374.7253,33.35775,33.06471,49.05983
783,629.7924,338.7057,96.78877,373.2601,34.04151,32.99145,49.40171
784,628.3272,338.4615,96.76435,373.138,34.18803,33.08913,49.52381
785,639.072,343.1013,96.73993,372.5275,34.60318,33.52869,49.69475
786,640.0488,338.2173,96.76435,369.8413,34.04151,33.67521,49.23077
787,639.072,341.8803,96.76435,367.033,34.06593,34.13919,49.27961
788,631.0134,344.0781,96.76435,366.5446,33.28449,33.33333,48.81563
789,628.083,342.3687,96.76435,369.3529,33.60195,32.86935,48.98657
790,627.8388,343.5897,96.73993,372.5275,33.45543,32.86935,48.98657
791,625.641,349.4505,96.73993,373.2601,34.23687,32.89377,49.59707
792,633.6996,341.8803,96.76435,373.3822,34.23687,32.74725,49.49939
793,636.8742,340.9035,96.76435,370.3297,33.99267,33.74847,49.52381
794,637.1184,343.1013,96.76435,369.5971,34.40781,33.69963,49.40171
795,634.9206,340.6593,96.73993,369.1087,33.55311,33.57753,49.18193
796,634.6764,341.6361,96.76435,368.7424,33.74847,33.74847,49.10867
797,629.5482,342.1245,96.76435,369.3529,33.45543,32.84493,48.88889
798,628.8156,346.0317,96.76435,370.9402,33.65079,33.08913,48.91331
799,625.8852,347.2527,96.78877,373.0159,32.64957,32.33211,48.32723
800,626.6178,348.7179,96.76435,374.359,33.04029,32.94261,48.71795
801,625.8852,351.6484,96.73993,374.7253,32.84493,32.50305,48.69353
802,622.9548,355.3114,96.76435,377.6557,33.84615,31.55067,49.32845
803,621.978,354.5788,96.76435,379.4872,33.82173,31.99023,49.15751
804,630.7692,346.0317,96.76435,378.5104,33.84615,33.01587,49.32845
805,634.4322,344.8107,96.73993,373.8706,33.69963,33.38217,49.08425
806,632.7228,341.1477,96.71551,373.138,33.40659,33.08913,49.05983
807,629.7924,349.939,96.73993,373.2601,33.28449,32.69841,48.81563
808,625.1526,353.1136,96.73993,373.9927,32.69841,32.40537,48.54701
809,620.2686,350.1832,96.73993,376.0684,32.84493,32.42979,48.79121
810,616.6056,356.2882,96.76435,379.1209,33.08913,31.69719,48.98657
811,619.7802,349.939,96.73993,380.5861,34.01709,32.16117,49.40171
812,634.188,349.2063,96.73993,378.1441,33.69963,33.01587,49.18193
813,632.4786,347.9853,96.73993,372.5275,34.04151,33.35775,49.40171
814,636.1416,348.2295,96.76435,371.917,33.69963,32.89377,49.15751
815,632.2344,341.6361,96.73993,371.4286,33.74847,33.47985,49.05983
816,628.5714,344.8107,96.76435,371.5507,33.06471,33.18681,48.57143
817,625.641,352.6252,96.71551,373.3822,32.99145,32.45421,48.81563
818,625.3968,353.8462,96.76435,376.9231,32.94261,32.38095,48.54701
819,621.2454,349.6948,96.76435,378.3883,32.60073,31.96581,48.71795
820,617.3382,352.6252,96.73993,379.6093,32.94261,32.03907,48.52259
821,616.6056,354.3346,96.76435,381.0745,32.74725,31.77045,48.69353
822,618.315,357.5092,96.73993,381.3187,33.79731,31.77045,49.27961
823,626.862,348.2295,96.73993,381.0745,34.04151,32.50305,49.47497
824,633.4554,334.3101,96.71551,377.6557,34.55434,33.38217,49.54823
825,639.072,337.7289,96.71551,371.0623,33.89499,33.67521,49.23077
826,643.7118,339.4383,96.76435,367.3993,34.04151,33.74847,49.57265
827,635.6532,342.1245,96.73993,366.3004,33.79731,33.60195,49.20635
828,632.2344,349.939,96.71551,369.2308,33.89499,33.16239,49.27961
829,629.304,341.8803,96.71551,370.9402,33.50427,33.16239,48.96215
830,630.0366,350.1832,96.73993,371.4286,33.40659,32.94261,49.01099
831,620.5128,348.7179,96.73993,372.1612,33.28449,32.84493,48.69353
832,623.199,352.6252,96.71551,373.3822,33.28449,32.45421,49.01099
833,626.1294,348.9621,96.73993,376.1905,33.40659,32.69841,48.76679
834,622.4664,346.0317,96.71551,377.2894,32.84493,32.67399,48.59585
835,625.3968,350.1832,96.71551,375.58,32.79609,33.04029,48.47375
836,625.3968,352.381,96.71551,374.9695,32.03907,32.38095,48.27839
837,611.7216,353.1136,96.71551,377.6557,32.16117,31.91697,48.03419
838,610.0122,362.8816,96.71551,381.685,31.33089,31.37973,47.66789
839,601.7094,366.3004,96.73993,384.3712,32.28327,31.13553,48.35165
840,604.884,363.1258,96.71551,387.1795,33.11355,30.72039,48.88889
841,621.0012,356.5324,96.69109,386.9353,33.99267,31.45299,49.71917
842,631.5018,341.1477,96.71551,382.2955,34.13919,32.69841,49.42613
843,635.409,346.0317,96.73993,374.1148,33.82173,33.62637,49.25519
844,637.6068,340.6593,96.69109,370.3297,33.40659,33.43101,48.81563
845,627.8388,344.3223,96.71551,370.4518,33.04029,32.96703,48.66911
846,627.8388,352.6252,96.73993,373.2601,32.79609,32.55189,48.47375
847,618.8034,353.3578,96.71551,375.8242,31.99023,32.21001,48.22955
848,607.326,356.5324,96.71551,380.8303,32.08791,31.23321,48.20513
849,611.4774,362.3932,96.71551,384.3712,31.84371,31.03785,48.22955
850,609.5238,356.2882,96.71551,385.7143,32.99145,31.08669,48.86447
851,616.1172,356.2882,96.73993,386.3248,33.04029,30.89133,48.96215
852,622.7106,350.9158,96.71551,384.6154,33.45543,32.03907,49.18193
853,629.7924,344.0781,96.71551,378.9988,33.13797,32.96703,48.86447
854,629.7924,347.9853,96.71551,376.801,33.28449,32.82051,49.05983
855,623.6874,349.6948,96.66667,376.6789,33.45543,32.64957,49.05983
856,624.6642,343.1013,96.69109,376.4347,33.60195,32.79609,49.32845
857,629.304,344.0781,96.71551,376.6789,33.69963,32.77167,49.27961
858,626.1294,340.6593,96.69109,376.0684,33.60195,33.01587,49.27961
859,628.8156,342.6129,96.69109,374.7253,33.69963,32.89377,49.20635
860,631.9902,341.3919,96.69109,374.2369,33.21123,32.84493,49.13309
861,629.304,334.5543,96.69109,373.138,33.35775,32.99145,48.96215
862,627.5946,341.6361,96.66667,372.8938,32.55189,32.67399,48.44933
863,616.8498,353.602,96.66667,376.3126,32.30769,32.01465,48.27839
864,612.6984,356.2882,96.66667,380.8303,31.89255,31.84371,48.08303
865,608.7912,353.3578,96.69109,383.5165,32.18559,31.40415,48.42491
866,609.5238,357.9976,96.69109,385.1038,32.21001,31.91697,48.30281
867,614.652,361.4164,96.66667,385.2259,32.23443,31.45299,48.47375
868,614.1636,359.2186,96.66667,385.348,32.13675,31.30647,48.32723
869,610.5006,356.2882,96.71551,385.4701,32.40537,31.69719,48.62027
870,616.3614,356.7766,96.69109,385.4701,32.57631,31.55067,48.42491
871,614.8962,350.4274,96.69109,383.7607,32.42979,31.84371,48.54701
872,615.3846,347.7411,96.69109,383.8828,32.99145,31.94139,48.91331
873,621.2454,350.4274,96.69109,383.1502,33.04029,32.33211,49.03541
874,622.9548,349.2063,96.66667,381.685,33.08913,32.23443,48.84005
875,620.757,352.6252,96.69109,380.464,32.45421,32.57631,48.44933
876,620.2686,347.0085,96.66667,380.3419,32.64957,31.99023,48.57143
877,617.8266,348.7179,96.66667,380.2198,32.67399,31.86813,48.86447
878,621.4896,354.3346,96.69109,381.685,33.55311,31.94139,49.49939
879,621.978,345.2991,96.66667,380.9524,33.99267,32.21001,49.54823
880,636.8742,347.7411,96.66667,377.4115,33.35775,33.33333,49.01099
881,631.0134,342.8571,96.66667,373.2601,31.84371,32.94261,47.86325
882,624.42,347.0085,96.64225,372.1612,31.01343,32.96703,47.64347
883,616.6056,365.5678,96.64225,375.7021,31.35531,32.45421,47.86325
884,613.1868,360.4396,96.66667,381.9292,31.64835,31.11111,47.98535
885,608.7912,365.0794,96.64225,385.9585,31.89255,30.91575,48.18071
886,607.5702,358.9744,96.64225,387.1795,31.40415,30.96459,47.83883
887,606.3492,357.9976,96.64225,387.3016,30.86691,30.89133,47.39927
888,608.547,363.6142,96.66667,387.5458,30.15873,31.18437,46.91087
889,595.6044,367.033,96.64225,390.3541,29.84127,30.42735,46.91087
890,594.1392,368.7424,96.66667,393.2845,30.23199,29.67033,47.39927
891,589.011,377.2894,96.66667,394.8718,31.20879,29.18193,48.15629
892,605.1282,368.9866,96.66667,395.7265,31.74603,29.89011,48.10745
893,604.1514,355.0672,96.64225,393.1624,31.45299,30.86691,47.78999
894,607.326,354.3346,96.66667,390.5983,30.50061,30.72039,47.30159
895,605.8608,361.6606,96.64225,390.232,30.45177,30.74481,47.83883
896,599.7558,367.2772,96.66667,390.3541,31.99023,30.54945,48.84005
897,602.1978,365.5678,96.69109,392.3077,33.43101,30.28083,49.59707
898,616.8498,356.5324,96.64225,390.5983,33.65079,31.55067,49.32845
899,626.3736,340.1709,96.64225,382.0513,32.28327,32.25885,48.35165
900,626.862,352.1368,96.66667,378.5104,31.20879,32.79609,47.83883
901,617.5824,348.4737,96.66667,377.6557,30.74481,32.47863,47.86325
902,612.4542,360.4396,96.61783,380.3419,31.35531,31.47741,48.13187
903,604.6398,367.2772,96.66667,386.2027,31.37973,30.84249,47.83883
904,598.2906,366.5446,96.64225,388.8889,30.96459,31.11111,47.71673
905,598.0464,366.3004,96.64225,390.232,30.91575,29.79243,47.91209
906,596.337,363.8584,96.61783,392.9182,31.33089,30.06105,48.27839
907,602.6862,363.8584,96.61783,393.0403,31.35531,30.59829,48.13187
908,605.6166,359.707,96.64225,392.1856,31.03785,30.40293,47.83883
909,604.884,365.3236,96.64225,391.3309,30.89133,30.42735,47.86325
910,595.6044,364.3468,96.64225,391.5751,30.69597,30.28083,47.64347
911,597.0696,370.696,96.64225,393.0403,30.15873,29.62149,47.17949
912,589.4994,371.4286,96.64225,393.5287,29.30403,29.32845,46.61783
913,583.8828,375.8242,96.61783,396.0928,28.79121,29.01099,46.64225
914,577.2894,377.7778,96.64225,400.3663,28.98657,27.91209,46.69109
915,577.0452,374.1148,96.64225,402.5641,29.40171,28.15629,47.25275
916,591.6972,370.696,96.61783,402.1978,30.47619,28.59585,48.20513
917,603.663,367.5214,96.59341,398.1685,31.94139,29.15751,48.96215
918,609.5238,356.7766,96.59341,394.0171,32.50305,30.59829,48.98657
919,617.5824,358.9744,96.61783,387.3016,31.52625,32.06349,47.96093
920,613.1868,355.0672,96.64225,384.4933,30.08547,31.57509,47.15507
921,604.6398,358.9744,96.61783,384.6154,29.13309,31.08669,46.76435
922,597.8022,369.475,96.64225,389.011,29.49939,30.10989,47.42369
923,592.4298,373.138,96.61783,391.9414,30.79365,29.40171,48.37607
924,594.3834,371.4286,96.61783,396.2149,31.89255,29.59707,48.71795
925,609.0354,358.9744,96.64225,394.0171,31.84371,30.59829,48.62027
926,609.2796,358.7302,96.61783,389.1331,31.15995,31.03785,48.15629
927,608.3028,355.7998,96.64225,387.6679,30.91575,31.01343,48.10745
928,600.7326,360.928,96.61783,388.0342,31.13553,30.50061,48.42491
929,602.9304,359.707,96.59341,389.2552,31.50183,30.50061,48.69353
930,604.884,356.5324,96.61783,390.7204,32.03907,30.79365,48.93773
931,612.4542,349.4505,96.59341,389.9878,32.25885,31.35531,48.79121
932,608.7912,342.8571,96.59341,387.6679,31.67277,31.13553,48.54701
933,613.431,355.0672,96.61783,386.6911,31.64835,31.67277,48.54701
934,608.3028,359.4628,96.61783,386.3248,31.94139,30.84249,48.76679
935,609.5238,358.9744,96.59341,386.9353,31.94139,31.11111,48.71795
936,609.5238,350.6716,96.61783,386.6911,31.94139,31.15995,48.66911
937,606.8376,352.1368,96.61783,386.2027,31.67277,31.33089,48.76679
938,606.8376,356.2882,96.59341,386.2027,32.06349,30.74481,48.86447
939,607.0818,351.6484,96.59341,386.9353,31.96581,30.74481,48.81563
940,611.4774,358.7302,96.59341,387.0574,31.47741,31.23321,48.10745
941,607.8144,355.7998,96.61783,386.8132,30.59829,31.35531,47.78999
942,600.7326,361.1722,96.61783,386.9353,30.37851,30.94017,47.74115
943,596.8254,366.5446,96.61783,391.0867,30.64713,29.89011,48.20513
944,596.5812,369.475,96.61783,393.4066,31.50183,29.84127,48.76679
945,606.3492,355.0672,96.61783,393.6508,32.21001,30.35409,49.15751
946,615.1404,357.0208,96.61783,388.8889,32.94261,31.69719,49.91453
947,618.8034,349.4505,96.61783,384.2491,33.52869,31.91697,49.81685
948,626.862,338.4615,96.61783,379.8535,32.84493,32.72283,49.08425
949,628.5714,342.6129,96.61783,376.0684,31.50183,32.86935,48.52259
950,618.315,354.3346,96.61783,375.9463,31.64835,32.25885,48.64469
951,608.547,355.5556,96.59341,380.2198,31.74603,31.67277,49.03541
952,605.8608,359.9512,96.61783,384.127,32.47863,30.57387,49.23077
953,611.2332,356.7766,96.59341,385.7143,32.40537,31.23321,49.05983
954,612.6984,355.3114,96.61783,384.7375,31.84371,31.59951,48.54701
955,613.9194,354.823,96.61783,384.127,30.89133,32.06349,48.08303
956,607.326,364.8352,96.61783,384.2491,30.69597,30.91575,48.03419
957,599.7558,368.7424,96.59341,387.5458,31.20879,30.42735,48.88889
958,597.558,361.1722,96.61783,390.7204,32.57631,30.18315,49.45055
959,616.1172,356.5324,96.59341,390.4762,33.13797,31.08669,49.59707
960,621.0012,348.2295,96.64225,384.8596,32.45421,32.42979,48.88889
961,622.7106,355.5556,96.61783,382.4176,31.55067,32.50305,48.52259
962,615.3846,359.707,96.59341,380.3419,31.45299,31.62393,48.86447
963,608.547,363.1258,96.61783,382.906,32.35653,30.96459,49.23077
964,613.6752,363.8584,96.59341,385.8364,32.30769,31.30647,49.03541
965,611.9658,354.3346,96.61783,385.8364,31.81929,31.57509,48.76679
966,612.4542,355.5556,96.61783,385.5922,31.99023,31.64835,49.18193
967,608.547,361.1722,96.59341,385.1038,32.69841,31.42857,49.57265
968,612.9426,354.3346,96.61783,385.4701,33.28449,31.23321,49.86569
969,623.199,349.4505,96.61783,382.4176,33.04029,32.35653,49.37729
970,627.1062,347.2527,96.61783,378.8767,32.25885,32.52747,48.98657
971,615.3846,352.381,96.59341,378.1441,31.55067,32.25885,48.54701
972,614.1636,360.4396,96.61783,380.5861,31.40415,31.55067,48.59585
973,606.8376,365.812,96.61783,385.7143,31.64835,30.67155,48.81563
974,605.3724,369.7192,96.61783,388.6447,31.57509,30.64713,48.49817
975,604.3956,362.3932,96.59341,388.8889,31.25763,31.40415,48.42491
976,606.5934,355.7998,96.64225,388.5226,31.33089,31.55067,48.52259
977,604.3956,362.8816,96.64225,389.011,31.79487,30.50061,48.93773
978,606.3492,364.1026,96.61783,389.3773,32.23443,30.54945,49.42613
979,614.8962,359.2186,96.61783,389.3773,32.84493,31.42857,49.47497
980,619.7802,345.2991,96.61783,385.4701,32.33211,32.11233,49.15751
981,620.5128,346.0317,96.61783,382.0513,32.08791,32.18559,49.18193
982,614.1636,358.9744,96.64225,381.8071,32.55189,31.30647,49.69475
983,614.1636,357.9976,96.61783,382.2955,33.21123,31.20879,49.71917
984,623.199,346.5201,96.61783,381.9292,33.04029,32.16117,49.54823
985,621.0012,344.5665,96.61783,380.8303,32.62515,32.18559,49.52381
986,618.5592,351.6484,96.59341,379.6093,33.08913,32.06349,49.84127
987,616.8498,348.2295,96.59341,379.6093,33.38217,32.52747,50.13431
988,628.3272,341.6361,96.61783,377.7778,33.50427,32.62515,50.10989
989,627.1062,347.0085,96.61783,375.58,33.47985,32.67399,50.01221
990,625.641,344.8107,96.61783,375.2137,33.69963,32.64957,50.28083
991,627.1062,339.4383,96.61783,374.9695,34.09035,32.74725,50.18315
992,634.4322,342.6129,96.61783,372.5275,33.40659,33.35775,49.64591
993,631.2576,340.1709,96.61783,371.1844,32.64957,33.43101,49.15751
994,626.6178,341.8803,96.59341,371.3065,32.16117,32.64957,49.27961
995,618.315,354.5788,96.61783,374.1148,32.74725,32.47863,49.89011
996,616.3614,354.823,96.61783,378.022,34.21245,31.64835,50.59829
997,621.7338,344.3223,96.61783,379.3651,34.60318,32.23443,50.57387
998,633.4554,343.5897,96.61783,376.3126,33.82173,33.08913,49.89011
999,635.6532,339.6825,96.59341,371.5507,32.96703,33.26007,49.40171
1000,629.304,343.8339,96.61783,370.8181,32.60073,33.28449,49.49939
1001,621.7338,348.7179,96.61783,372.5275,33.13797,32.57631,49.64591
1002,622.7106,348.4737,96.61783,375.3358,33.35775,32.60073,49.81685
1003,623.9316,350.6716,96.64225,377.4115,33.11355,32.21001,49.54823
1004,621.978,345.0549,96.61783,377.2894,32.96703,32.57631,49.62149
1005,619.0476,350.9158,96.61783,377.5336,33.33333,31.89255,50.10989
1006,623.199,350.9158,96.61783,377.5336,34.13919,32.08791,50.42735
1007,628.3272,334.0659,96.61783,375.7021,34.01709,33.18681,50.23199
1008,631.746,344.5665,96.59341,371.7949,33.65079,33.47985,49.71917
1009,624.42,339.6825,96.59341,370.8181,33.13797,33.62637,49.76801
1010,623.9316,350.9158,96.61783,372.1612,33.47985,32.50305,49.86569
1011,624.1758,348.4737,96.64225,374.8474,33.72405,32.28327,50.23199
1012,632.7228,343.3455,96.66667,375.58,34.13919,32.96703,50.50061
1013,639.072,345.5433,96.59341,372.6496,34.77412,33.28449,50.67155
1014,641.2698,331.8681,96.61783,368.6203,34.79854,33.62637,50.76923
1015,642.2466,326.4957,96.61783,364.7131,34.60318,34.11477,50.20757
1016,642.735,333.3333,96.59341,363.9805,33.74847,33.94383,49.74359
1017,630.2808,340.1709,96.61783,365.2015,33.16239,33.23565,49.54823
1018,623.4432,348.9621,96.61783,370.2076,33.18681,32.84493,49.79243
1019,621.4896,347.7411,96.59341,374.359,33.65079,32.38095,50.10989
1020,627.1062,347.2527,96.61783,376.4347,34.28571,32.67399,50.25641
1021,636.3858,337.4847,96.59341,374.4811,33.89499,33.38217,49.79243
1022,633.6996,336.9963,96.59341,370.4518,33.21123,33.38217,49.25519
1023,628.8156,340.4151,96.61783,369.8413,32.74725,33.08913,49.49939
1024,617.5824,342.3687,96.61783,372.4054,33.21123,32.82051,49.86569
1025,621.978,348.4737,96.61783,376.801,33.91941,32.28327,50.15873
1026,630.0366,341.1477,96.61783,377.0452,33.99267,32.60073,49.86569
1027,637.6068,341.8803,96.61783,372.0391,33.40659,33.23565,49.52381
1028,635.6532,348.7179,96.61783,369.8413,32.84493,33.30891,49.37729
1029,625.3968,351.16,96.61783,371.3065,32.64957,32.84493,49.15751
1030,616.3614,358.486,96.61783,375.4579,32.40537,32.11233,49.23077
1031,613.431,352.8694,96.61783,381.0745,32.79609,31.57509,49.32845
1032,620.0244,350.6716,96.61783,381.9292,32.94261,31.84371,49.49939
1033,616.3614,348.7179,96.61783,381.1966,33.13797,32.08791,49.49939
1034,621.978,347.2527,96.61783,379.7314,32.99145,32.50305,49.45055
1035,623.6874,345.7875,96.61783,378.8767,32.99145,32.23443,49.54823
1036,620.757,349.2063,96.64225,377.0452,33.69963,32.18559,50.03663
1037,626.862,339.6825,96.64225,377.0452,34.11477,32.84493,50.62271
1038,637.6068,343.5897,96.64225,372.8938,35.04274,33.35775,50.84249
1039,643.2234,335.7753,96.64225,367.1551,34.79854,34.18803,50.54945
1040,643.2234,334.5543,96.64225,363.9805,34.21245,33.84615,49.91453
1041,634.188,343.5897,96.61783,363.1258,33.57753,33.87057,49.84127
1042,633.6996,340.9035,96.61783,367.7656,33.89499,33.16239,50.15873
1043,629.0598,344.5665,96.61783,370.0855,34.48107,32.79609,50.54945
1044,639.072,346.0317,96.61783,370.696,34.65202,33.45543,50.37851
1045,642.4908,332.1123,96.64225,365.5678,34.79854,33.69963,50.42735
1046,639.8046,334.7985,96.61783,363.9805,34.55434,34.26129,50.69597
1047,641.2698,332.1123,96.61783,363.7363,35.33578,34.16361,51.20879
1048,645.9096,327.2283,96.64225,363.7363,35.94628,34.13919,51.33089
1049,653.4799,327.4725,96.61783,359.5849,35.99512,35.06716,51.06227
1050,651.7705,324.5421,96.61783,354.9451,35.2381,35.14042,50.67155
1051,652.5031,319.9023,96.61783,353.9683,34.92064,35.14042,50.13431
1052,644.4444,336.2637,96.64225,354.823,34.06593,34.89622,49.91453
1053,636.1416,337.9731,96.64225,359.5849,33.99267,33.91941,49.89011
